,vendor,rank,verifcation,since,transactions,feedback_total,feedback_positive,feedback_negative,disputes_total,disputes_won,disputes_lost,finalize_early
425,dansharpe,Rank 1,Verification Level 3,"Jul 15, 2020",88,23,73.91% (17),26.09% (6),13,7.69% (1),69.23% (9),Not Available
426,darkapo,Rank 1,Verification Level 4,"Jan 13, 2021",18,14,100% (14),0% (0),0,0% (0),0% (0),Not Available
427,dayandnight,Rank 0,,"Nov 1, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
428,debauchery,Rank 0,Verification Level 1,"Feb 9, 2021",3,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
429,deemzbeemz,Rank 1,Verification Level 16,"Jul 24, 2020",39,13,100% (13),0% (0),3,0% (0),0% (0),Available (can require)
430,deinFreund,Rank 1,Verification Level 1,"Dec 4, 2020",24,16,100% (16),0% (0),0,0% (0),0% (0),Not Available
431,dexterslabs,Rank 4,,"Sep 15, 2020",384,229,99.56% (228),0% (0),5,0% (0),20% (1),Not Available
432,dirtyuncle,Rank 0,,"Aug 27, 2020",16,2,100% (2),0% (0),1,0% (0),100% (1),Not Available
433,dmsoldiersndd,Rank 5,,"Sep 11, 2020",648,288,93.06% (268),4.17% (12),33,3.03% (1),66.67% (22),Not Available
434,dmtking,Rank 1,Verification Level 3,"Aug 12, 2020",83,20,90% (18),5% (1),2,0% (0),0% (0),Not Available
435,doctor_upper,Rank 1,,"Jan 26, 2021",23,6,50% (3),50% (3),0,0% (0),0% (0),Not Available
436,donalddrugs,Rank 1,Verification Level 3,"Sep 12, 2020",80,18,77.78% (14),16.67% (3),6,16.67% (1),0% (0),Available (can require)
437,drkend,Rank 0,,"Dec 10, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
438,drogenmeister,Rank 0,Verification Level 3,"Feb 21, 2021",4,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
439,drugpluguk,Rank 2,,"Oct 3, 2020",281,119,91.60% (109),5.04% (6),11,18.18% (2),9.09% (1),Not Available
440,drugsincuk,Rank 0,,"Jan 23, 2021",9,4,75% (3),25% (1),0,0% (0),0% (0),Not Available
441,drugsource,Rank 0,Verification Level 2,"Jan 29, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
442,drugsukstore,Rank 1,,"Sep 7, 2020",136,60,91.67% (55),6.67% (4),7,42.86% (3),0% (0),Not Available
443,dutchdrogasales,Rank 0,,"Dec 11, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
444,dutchsuperior,Rank 1,,"Nov 30, 2020",80,43,83.72% (36),11.63% (5),6,33.33% (2),66.67% (4),Not Available
445,dxmusa,Rank 0,Verification Level 2,"Jan 10, 2021",6,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
446,eastcoastsesh,Rank 1,,"Dec 24, 2020",111,61,95.08% (58),4.92% (3),4,0% (0),25% (1),Not Available
447,ecusson,Rank 1,Verification Level 7,"Jan 21, 2021",16,12,91.67% (11),0% (0),0,0% (0),0% (0),Not Available
448,elGino,Rank 0,,"Sep 28, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
449,espn,TOP,,"Nov 30, 2020",1283,300,81% (243),12.67% (38),137,43.80% (60),23.36% (32),Not Available
450,eu-supply,Rank 0,Verification Level 1,"May 10, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
451,evergreens,Rank 0,Verification Level 1,"Jun 16, 2020",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
452,exclusivepharma,Rank 0,Verification Level 1,"Mar 1, 2021",5,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
453,ezinpharma,Rank 2,Verification Level 3,"Mar 20, 2020",258,103,92.23% (95),4.85% (5),9,0% (0),11.11% (1),Not Available
454,fadedfork,Rank 0,Verification Level 5,"Aug 21, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
455,farmafresh,Rank 2,Verification Level 5,"Oct 12, 2020",133,75,93.33% (70),4% (3),2,0% (0),0% (0),Not Available
456,fastandsafe1234,Rank 1,Verification Level 3,"Oct 26, 2020",30,11,100% (11),0% (0),5,0% (0),80% (4),Not Available
457,fastdrugsusa,Rank 1,,"Dec 11, 2020",36,17,88.24% (15),5.88% (1),0,0% (0),0% (0),Not Available
458,fererokusk,Rank 0,,"Mar 1, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
459,firebudsonly,Rank 0,,"Mar 1, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
460,firebunnyusa,Rank 2,Verification Level 5,"Oct 14, 2020",133,64,90.62% (58),3.12% (2),2,0% (0),100% (2),Available (only optional)
461,flow,Rank 5,,"Aug 27, 2020",638,306,94.12% (288),3.59% (11),20,15% (3),20% (4),Not Available
462,frankmatthews7,Rank 0,,"Jan 3, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
463,freeshop,Rank 0,,"Jan 2, 2021",17,3,100% (3),0% (0),1,0% (0),0% (0),Not Available
464,froggo,Rank 2,,"Nov 30, 2020",184,130,99.23% (129),0% (0),6,0% (0),33.33% (2),Not Available
465,g3cko,TOP,Verification Level 9,"Feb 22, 2020",1170,339,85.55% (290),9.73% (33),53,56.60% (30),7.55% (4),Not Available
466,gblSupply,Rank 2,Verification Level 10,"Aug 30, 2020",168,95,98.95% (94),0% (0),3,0% (0),0% (0),Available (can require)
467,gbmessicocaine,Rank 2,Verification Level 4,"Jun 29, 2020",215,65,95.38% (62),3.08% (2),5,20% (1),40% (2),Available (only optional)
468,ghostbusterz,Rank 2,Verification Level 3,"Dec 12, 2020",196,83,85.54% (71),9.64% (8),7,0% (0),14.29% (1),Not Available
469,globalcokeuk,Rank 1,Verification Level 4,"Jul 16, 2020",111,9,100% (9),0% (0),0,0% (0),0% (0),Available (only optional)
470,godelicious,Rank 0,Verification Level 3,"Mar 1, 2020",5,2,50% (1),50% (1),0,0% (0),0% (0),Available (can require)
471,gratefullydead,Rank 2,Verification Level 2,"Aug 19, 2020",212,98,86.73% (85),9.18% (9),9,11.11% (1),22.22% (2),Not Available
472,greatwhite,Rank 2,Verification Level 5,"May 20, 2020",167,55,76.36% (42),21.82% (12),5,0% (0),100% (5),Available (can require)
473,greenleafde,Rank 5,Verification Level 2,"Jul 11, 2020",463,236,88.56% (209),7.20% (17),18,33.33% (6),44.44% (8),Not Available
474,greetarantino,Rank 2,,"Sep 17, 2020",184,68,100% (68),0% (0),14,0% (0),57.14% (8),Not Available
475,greyhounduk,Rank 0,Verification Level 1,"Nov 10, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
476,happymates,Rank 0,,"Mar 1, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
477,happyseller1,Rank 2,Verification Level 2,"Oct 10, 2020",199,80,91.25% (73),5% (4),31,25.81% (8),38.71% (12),Not Available
478,happyshopper,Rank 2,Verification Level 9,"Jul 13, 2020",256,83,96.39% (80),2.41% (2),7,0% (0),42.86% (3),Available (can require)
479,heinsenburg,Rank 1,Verification Level 1,"Aug 31, 2020",81,31,93.55% (29),3.23% (1),4,0% (0),75% (3),Not Available
480,heromeister,Rank 1,Verification Level 5,"Oct 3, 2020",106,56,96.43% (54),0% (0),1,0% (0),0% (0),Not Available
481,heyzeus,Rank 0,Verification Level 3,"Dec 4, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
482,highsierraranch,Rank 0,,"Jan 25, 2021",9,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
483,himalayanblues,Rank 0,,"Apr 24, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
484,hollandgottalent,Rank 2,Verification Level 6,"Oct 28, 2020",134,51,80.39% (41),17.65% (9),12,16.67% (2),50% (6),Not Available
485,hpfromtj,Rank 1,Verification Level 10,"Aug 27, 2020",38,10,90% (9),10% (1),1,0% (0),0% (0),Available (can require)
486,icemasters,Rank 1,,"Nov 18, 2020",103,38,92.11% (35),2.63% (1),10,10% (1),30% (3),Not Available
487,igogrraawwr,Rank 1,,"Dec 27, 2020",96,24,100% (24),0% (0),3,0% (0),0% (0),Not Available
488,inc,Rank 5,Verification Level 7,"Oct 3, 2020",573,241,99.17% (239),0.41% (1),6,50% (3),0% (0),Available (can require)
489,itemzdirect,Rank 1,,"Nov 20, 2020",35,16,93.75% (15),6.25% (1),0,0% (0),0% (0),Not Available
490,jamesocean,Rank 1,Verification Level 1,"Jul 22, 2020",124,36,97.22% (35),0% (0),2,0% (0),50% (1),Not Available
491,jaribootiwalla,Rank 1,Verification Level 2,"Feb 22, 2020",57,11,90.91% (10),9.09% (1),6,16.67% (1),0% (0),Not Available
492,jnenfrancis,Rank 4,Verification Level 10,"Sep 12, 2020",422,210,96.19% (202),1.90% (4),24,0% (0),0% (0),Available (can require)
493,kakiscoks,Rank 1,,"Nov 9, 2020",14,13,100% (13),0% (0),0,0% (0),0% (0),Not Available
494,kamagralink,Rank 5,Verification Level 3,"Oct 20, 2020",469,253,98.81% (250),1.19% (3),8,25% (2),12.50% (1),Available (can require)
495,kamagralove,Rank 1,,"Oct 18, 2020",14,8,100% (8),0% (0),0,0% (0),0% (0),Not Available
496,kandykones,Rank 2,Verification Level 1,"Nov 20, 2020",135,56,83.93% (47),12.50% (7),12,16.67% (2),50% (6),Not Available
497,kdw247,Rank 1,,"Feb 20, 2021",40,16,100% (16),0% (0),0,0% (0),0% (0),Not Available
498,kenza,Rank 0,Verification Level 2,"Nov 25, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
499,kiosken,Rank 0,,"Nov 30, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
500,klaasflakko,Rank 0,Verification Level 4,"Aug 17, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
501,kraeuterbusch,Rank 0,,"Oct 26, 2020",3,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
502,lafloche,Rank 1,Verification Level 5,"Sep 20, 2020",19,13,100% (13),0% (0),0,0% (0),0% (0),Not Available
503,ldnexpert,Rank 1,Verification Level 1,"Jan 1, 2021",94,48,97.92% (47),0% (0),8,0% (0),0% (0),Not Available
504,leavehonest07,Rank 6,Verification Level 1,"Oct 15, 2020",669,397,97.48% (387),1.76% (7),4,25% (1),25% (1),Available (can require)
505,lekkercocaine,Rank 1,Verification Level 1,"Jan 21, 2021",18,11,100% (11),0% (0),1,0% (0),0% (0),Not Available
506,letsgetbaked,Rank 0,,"Oct 13, 2020",11,4,75% (3),0% (0),0,0% (0),0% (0),Not Available
507,lilylotusuk,Rank 0,Verification Level 7,"Sep 7, 2020",8,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
508,limaconnection,Rank 0,,"Dec 30, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
509,lithium420,Rank 0,,"Dec 21, 2020",1,1,100% (1),0% (0),0,0% (0),0% (0),Not Available
510,localpharm,Rank 3,,"Dec 16, 2020",265,151,97.35% (147),0% (0),2,0% (0),0% (0),Available (only optional)
511,luckygambino,Rank 1,Verification Level 6,"Jan 28, 2021",65,32,90.62% (29),3.12% (1),17,0% (0),23.53% (4),Not Available
512,magictrip,Rank 1,Verification Level 2,"Oct 14, 2020",69,37,100% (37),0% (0),1,0% (0),100% (1),Not Available
513,major2minor,Rank 1,Verification Level 1,"Jan 29, 2021",50,17,88.24% (15),5.88% (1),1,0% (0),0% (0),Not Available
514,maligan,Rank 0,Verification Level 13,"Aug 27, 2020",4,1,100% (1),0% (0),0,0% (0),0% (0),Available (only optional)
515,marshall,Rank 0,,"Jan 26, 2021",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
516,martell,TOP,Verification Level 11,"Aug 26, 2020",1138,627,96.65% (606),1.44% (9),21,9.52% (2),9.52% (2),Available (only optional)
517,maurelius,Rank 2,Verification Level 7,"Sep 6, 2020",121,76,90.79% (69),6.58% (5),3,0% (0),33.33% (1),Available (only optional)
518,maxverstappen,Rank 3,,"Oct 17, 2020",322,107,83.18% (89),14.02% (15),18,5.56% (1),77.78% (14),Not Available
519,mctavish,Rank 0,Verification Level 3,"Nov 24, 2020",9,3,100% (3),0% (0),1,0% (0),0% (0),Not Available
520,meds4ed,Rank 1,Verification Level 9,"Feb 28, 2020",79,35,100% (35),0% (0),0,0% (0),0% (0),Available (only optional)
521,medsguru,Rank 0,Verification Level 7,"Jan 31, 2021",18,2,100% (2),0% (0),1,0% (0),0% (0),Not Available
522,megadrug3,Rank 0,,"Feb 6, 2021",10,5,100% (5),0% (0),0,0% (0),0% (0),Not Available
523,messi84,Rank 7,Verification Level 1,"Jul 9, 2020",794,450,95.56% (430),3.11% (14),31,6.45% (2),16.13% (5),Not Available
524,messiah,Rank 0,,"Feb 1, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
525,mikegrey,Rank 0,,"Nov 20, 2020",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
526,mikehamer,Rank 0,Verification Level 6,"Nov 16, 2020",2,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
527,monoko,TOP,Verification Level 10,"Mar 4, 2020",1146,711,98.87% (703),0.42% (3),8,12.50% (1),0% (0),Not Available
528,moowmoow,Rank 0,Verification Level 4,"Jul 11, 2020",2,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
529,mowglinl,Rank 0,,"Dec 7, 2020",13,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
530,mrblueman,Rank 5,Verification Level 2,"May 25, 2020",487,234,96.15% (225),0.85% (2),16,0% (0),6.25% (1),Not Available
531,mrdmt,Rank 0,,"Jun 21, 2020",3,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
532,mrfrank,Rank 0,Verification Level 1,"May 29, 2020",3,1,0% (0),100% (1),0,0% (0),0% (0),Not Available
533,muhshrooms,Rank 1,,"Nov 3, 2020",32,10,100% (10),0% (0),1,0% (0),0% (0),Not Available
534,mushmedic,Rank 0,,"Aug 27, 2020",7,4,75% (3),0% (0),0,0% (0),0% (0),Not Available
535,mushmob,Rank 1,Verification Level 1,"Aug 28, 2020",22,15,73.33% (11),26.67% (4),0,0% (0),0% (0),Not Available
536,mushroomchick,Rank 0,Verification Level 4,"Jan 28, 2021",8,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
537,mushroommafia,Rank 0,Verification Level 6,"Sep 8, 2020",4,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
538,mysteryland,TOP,Verification Level 4,"Mar 5, 2020",1433,597,90.45% (540),6.53% (39),43,4.65% (2),65.12% (28),Not Available
539,narcotichealthservice,Rank 1,Verification Level 2,"Jan 25, 2021",54,10,70% (7),30% (3),5,0% (0),0% (0),Not Available
540,nddnarcz,Rank 0,,"Feb 11, 2021",22,3,100% (3),0% (0),0,0% (0),0% (0),Not Available
541,neighborjimi,Rank 4,Verification Level 3,"Jun 5, 2020",378,120,82.50% (99),12.50% (15),9,44.44% (4),22.22% (2),Available (can require)
542,nzt48givesyouwings,Rank 0,Verification Level 10,"Sep 9, 2020",1,0,0% (0),0% (0),0,0% (0),0% (0),Available (can require)
543,original_kimono,Rank 1,Verification Level 7,"Oct 15, 2020",156,56,98.21% (55),1.79% (1),3,0% (0),0% (0),Not Available
544,oxymoxy,Rank 0,Verification Level 5,"Feb 14, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Available (only optional)
545,oxytop,Rank 1,Verification Level 2,"Mar 27, 2020",89,53,100% (53),0% (0),1,0% (0),100% (1),Not Available
546,ozconnection,Rank 4,Verification Level 13,"Nov 5, 2020",413,190,97.89% (186),1.58% (3),23,13.04% (3),0% (0),Available (can require)
547,packflipper,Rank 1,Verification Level 1,"Oct 27, 2020",48,18,88.89% (16),11.11% (2),4,25% (1),0% (0),Not Available
548,petet0ng,Rank 0,,"Oct 24, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
549,pharmacy8170,Rank 1,Verification Level 7,"Sep 13, 2020",103,35,97.14% (34),2.86% (1),0,0% (0),0% (0),Available (only optional)
550,pharmaqween,Rank 0,Verification Level 2,"Nov 7, 2020",1,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
551,pharmatec,Rank 10,Verification Level 8,"Aug 25, 2020",1106,564,97.16% (548),1.42% (8),22,13.64% (3),0% (0),Available (can require)
552,pilzhof,Rank 1,Verification Level 11,"Jan 11, 2021",17,12,100% (12),0% (0),0,0% (0),0% (0),Not Available
553,playmobil,Rank 0,,"Sep 21, 2020",9,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
554,pluguk,TOP,,"Oct 22, 2020",1301,715,98.04% (701),1.12% (8),26,7.69% (2),46.15% (12),Not Available
555,positivevibes420,Rank 1,Verification Level 1,"Nov 22, 2020",16,9,88.89% (8),0% (0),1,0% (0),0% (0),Not Available
556,powsub000,Rank 0,Verification Level 2,"Feb 22, 2021",2,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
557,pringles555,Rank 0,,"Sep 10, 2020",8,4,100% (4),0% (0),0,0% (0),0% (0),Not Available
558,probitexchange,Rank 2,Verification Level 3,"Mar 11, 2020",234,125,92% (115),4% (5),6,0% (0),16.67% (1),Not Available
559,projeccao,Rank 1,Verification Level 14,"Jul 9, 2020",57,27,96.30% (26),3.70% (1),3,0% (0),0% (0),Available (can require)
560,proseller,Rank 5,Verification Level 2,"Nov 5, 2020",812,235,89.79% (211),7.66% (18),39,20.51% (8),7.69% (3),Not Available
561,proyectoequis,Rank 2,Verification Level 3,"Jul 2, 2020",313,108,91.67% (99),5.56% (6),6,0% (0),50% (3),Not Available
562,pureau,Rank 2,Verification Level 2,"Oct 1, 2020",233,118,96.61% (114),2.54% (3),11,0% (0),0% (0),Available (can require)
563,radarbreeder,Rank 0,Verification Level 8,"Feb 24, 2021",8,4,100% (4),0% (0),0,0% (0),0% (0),Available (only optional)
564,rainbowland,Rank 0,,"Oct 27, 2020",4,0,0% (0),0% (0),1,0% (0),100% (1),Not Available
565,realfknhigh,Rank 1,Verification Level 4,"Oct 8, 2020",29,18,100% (18),0% (0),1,0% (0),0% (0),Not Available
566,richhigh999,Rank 1,,"Oct 22, 2020",34,12,100% (12),0% (0),2,0% (0),100% (2),Not Available
567,rolexkingsuk,Rank 0,Verification Level 1,"Feb 7, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
568,rolltroycorps,Rank 2,,"Jan 12, 2021",147,78,97.44% (76),0% (0),0,0% (0),0% (0),Not Available
569,royalfam,Rank 1,Verification Level 2,"Aug 19, 2020",162,37,100% (37),0% (0),0,0% (0),0% (0),Not Available
570,rxmarket,Rank 0,,"Feb 28, 2021",4,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
571,rxsub,Rank 1,Verification Level 2,"Feb 22, 2020",132,66,100% (66),0% (0),1,0% (0),0% (0),Not Available
572,safestash,Rank 1,Verification Level 5,"Aug 29, 2020",51,30,96.67% (29),3.33% (1),1,0% (0),0% (0),Available (only optional)
573,savesballstore,Rank 1,Verification Level 5,"Jun 16, 2020",39,16,93.75% (15),6.25% (1),4,0% (0),75% (3),Not Available
574,scoobydoodrugs,Rank 0,,"Feb 7, 2021",3,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
575,scottishflavourz,Rank 0,Verification Level 1,"Feb 20, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
576,sd1218,Rank 2,,"Oct 18, 2020",262,146,96.58% (141),2.05% (3),3,0% (0),0% (0),Not Available
577,seamless,Rank 2,Verification Level 1,"Sep 25, 2020",189,95,98.95% (94),0% (0),3,33.33% (1),33.33% (1),Not Available
578,shimshai,Rank 1,Verification Level 1,"Sep 18, 2020",65,31,96.77% (30),0% (0),2,0% (0),0% (0),Not Available
579,shorestore,Rank 1,Verification Level 6,"Nov 23, 2020",79,38,94.74% (36),5.26% (2),3,0% (0),100% (3),Not Available
580,shroomer,Rank 1,Verification Level 1,"Dec 2, 2020",63,32,100% (32),0% (0),2,0% (0),0% (0),Not Available
581,sixandeight,TOP,,"Sep 10, 2020",1656,413,82.08% (339),10.41% (43),90,43.33% (39),20% (18),Not Available
582,snowhite,Rank 1,Verification Level 2,"Jan 14, 2021",11,10,100% (10),0% (0),1,0% (0),0% (0),Not Available
583,snowwhite38,Rank 2,,"Oct 5, 2020",120,64,92.19% (59),4.69% (3),4,0% (0),75% (3),Not Available
584,sthompson,Rank 1,Verification Level 14,"Nov 15, 2020",93,51,98.04% (50),0% (0),0,0% (0),0% (0),Not Available
585,stonerdefrance,Rank 2,,"Nov 27, 2020",111,84,97.62% (82),0% (0),0,0% (0),0% (0),Not Available
586,strassenapo1312,Rank 0,,"Apr 4, 2020",7,1,0% (0),100% (1),0,0% (0),0% (0),Not Available
587,streetoysters,Rank 1,Verification Level 1,"Jan 13, 2021",19,7,100% (7),0% (0),0,0% (0),0% (0),Not Available
588,sunny9879,Rank 4,Verification Level 6,"Jan 5, 2021",420,242,99.17% (240),0.41% (1),2,0% (0),0% (0),Available (can require)
589,superdrugs,Rank 1,,"Jan 27, 2021",53,21,100% (21),0% (0),1,0% (0),0% (0),Not Available
590,superfleks,Rank 1,Verification Level 1,"Nov 5, 2020",23,8,100% (8),0% (0),0,0% (0),0% (0),Not Available
591,superweedsonic,Rank 1,Verification Level 7,"Sep 29, 2020",71,32,96.87% (31),3.12% (1),0,0% (0),0% (0),Available (can require)
592,sweetleafau,Rank 1,,"Oct 9, 2020",38,16,100% (16),0% (0),1,0% (0),0% (0),Not Available
593,tartini,Rank 1,Verification Level 3,"Dec 4, 2020",86,65,95.38% (62),3.08% (2),7,42.86% (3),28.57% (2),Not Available
594,teamrgm,Rank 1,,"Dec 3, 2020",32,12,83.33% (10),16.67% (2),1,0% (0),0% (0),Not Available
595,terrysukstock,TOP,Verification Level 8,"Sep 3, 2020",1285,593,91.23% (541),5.40% (32),100,12% (12),8% (8),Available (can require)
596,terrytibbs19998,Rank 2,,"Nov 23, 2020",140,86,100% (86),0% (0),4,25% (1),25% (1),Not Available
597,thatguyforbud,Rank 1,,"Sep 23, 2020",41,27,100% (27),0% (0),1,0% (0),0% (0),Not Available
598,thcwizzard,Rank 0,Verification Level 4,"Feb 17, 2021",4,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
599,thebudbros,Rank 1,Verification Level 9,"Jan 11, 2021",37,12,100% (12),0% (0),3,0% (0),0% (0),Available (can require)
600,thedopehouse,Rank 1,,"Jan 12, 2021",82,49,97.96% (48),0% (0),1,0% (0),0% (0),Not Available
601,theillusiveman,Rank 1,,"Jan 30, 2021",40,12,100% (12),0% (0),0,0% (0),0% (0),Not Available
602,thelab1,Rank 0,,"Jan 31, 2021",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
603,themodsquad,Rank 1,Verification Level 4,"Dec 11, 2020",64,30,93.33% (28),3.33% (1),0,0% (0),0% (0),Not Available
604,themushrooman,Rank 0,Verification Level 1,"Aug 25, 2020",13,5,100% (5),0% (0),0,0% (0),0% (0),Not Available
605,thenoserunner036,Rank 1,,"Oct 6, 2020",118,76,96.05% (73),1.32% (1),3,0% (0),66.67% (2),Not Available
606,thequickening,Rank 2,Verification Level 2,"Sep 9, 2020",175,91,100% (91),0% (0),1,0% (0),0% (0),Not Available
607,thesubguy,Rank 0,Verification Level 6,"Jul 28, 2020",7,1,100% (1),0% (0),0,0% (0),0% (0),Available (can require)
608,thisisAustralia,Rank 3,,"Oct 11, 2020",269,161,96.89% (156),1.24% (2),10,20% (2),20% (2),Available (only optional)
609,timmy622,Rank 1,Verification Level 2,"Dec 18, 2020",29,16,100% (16),0% (0),0,0% (0),0% (0),Not Available
610,tomandjerry,TOP,Verification Level 7,"Jun 10, 2020",1408,494,86.44% (427),7.29% (36),37,32.43% (12),0% (0),Available (can require)
611,topmoneymaker,Rank 0,Verification Level 5,"Jan 28, 2021",21,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
612,topshopuk,Rank 0,Verification Level 2,"Nov 13, 2020",16,7,85.71% (6),14.29% (1),0,0% (0),0% (0),Not Available
613,tornadotravel,Rank 0,Verification Level 3,"Jan 23, 2021",6,0,0% (0),0% (0),2,0% (0),50% (1),Not Available
614,toyplay007,Rank 0,,"Dec 9, 2020",3,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
615,trichomes,Rank 1,,"Feb 1, 2021",26,22,100% (22),0% (0),0,0% (0),0% (0),Not Available
616,ubercocaine,Rank 2,Verification Level 2,"Jul 16, 2020",217,14,92.86% (13),0% (0),0,0% (0),0% (0),Available (only optional)
617,uk1day,Rank 4,Verification Level 2,"Sep 22, 2020",673,182,92.31% (168),5.49% (10),9,22.22% (2),44.44% (4),Not Available
618,ukcartel1,Rank 1,Verification Level 6,"Jan 26, 2021",39,18,100% (18),0% (0),0,0% (0),0% (0),Not Available
619,ukgroup,Rank 1,,"Nov 9, 2020",55,38,94.74% (36),2.63% (1),4,25% (1),25% (1),Not Available
620,underlinecost,Rank 3,Verification Level 3,"Oct 1, 2020",228,147,100% (147),0% (0),1,0% (0),0% (0),Not Available
621,uns1chtb4r,Rank 0,Verification Level 2,"Mar 23, 2020",0,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
622,upsworldwide,Rank 3,Verification Level 4,"Jul 9, 2020",281,126,92.06% (116),3.17% (4),7,28.57% (2),0% (0),Not Available
623,usatabletpress,Rank 1,,"Jan 24, 2021",101,56,92.86% (52),5.36% (3),9,11.11% (1),0% (0),Not Available
624,vanillasurf,Rank 4,Verification Level 10,"Nov 21, 2020",407,209,96.65% (202),1.91% (4),15,20% (3),0% (0),Available (can require)
625,vegasconnection,Rank 0,,"Feb 14, 2021",3,2,100% (2),0% (0),1,100% (1),0% (0),Not Available
626,vessel,Rank 5,,"Sep 1, 2020",549,254,96.06% (244),2.76% (7),27,7.41% (2),25.93% (7),Not Available
627,wedoweed,Rank 2,Verification Level 2,"Oct 18, 2020",159,78,100% (78),0% (0),0,0% (0),0% (0),Not Available
628,weedforspeed,Rank 0,,"Jan 27, 2021",2,2,100% (2),0% (0),0,0% (0),0% (0),Not Available
629,weedstore,Rank 1,,"Aug 20, 2020",31,15,93.33% (14),6.67% (1),1,100% (1),0% (0),Not Available
630,weedworldwide,Rank 1,,"Dec 2, 2020",37,17,76.47% (13),23.53% (4),2,0% (0),0% (0),Not Available
631,wizardpunch,Rank 1,,"Aug 25, 2020",80,50,98% (49),2% (1),0,0% (0),0% (0),Not Available
632,worlwidegrind_official,Rank 2,Verification Level 1,"Oct 6, 2020",244,116,83.62% (97),13.79% (16),14,42.86% (6),7.14% (1),Not Available
633,xDrGreenThumbx,Rank 1,,"Jan 18, 2021",53,32,100% (32),0% (0),0,0% (0),0% (0),Not Available
634,xanax2mg,Rank 1,,"Jan 29, 2021",63,32,90.62% (29),6.25% (2),2,0% (0),50% (1),Not Available
635,xanking,Rank 0,,"Jan 24, 2021",2,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
636,xtpharma,Rank 0,,"Oct 6, 2020",10,2,100% (2),0% (0),1,0% (0),100% (1),Not Available
637,yoshisteam,Rank 3,Verification Level 4,"Dec 7, 2020",313,113,84.96% (96),7.96% (9),25,52% (13),20% (5),Not Available
638,youngmoney,Rank 4,Verification Level 3,"Oct 16, 2020",381,130,98.46% (128),0.77% (1),13,53.85% (7),7.69% (1),Not Available
639,your_service,Rank 0,Verification Level 1,"Aug 26, 2020",2,0,0% (0),0% (0),0,0% (0),0% (0),Not Available
640,yourpharmalink,Rank 2,Verification Level 1,"Oct 27, 2020",190,76,90.79% (69),6.58% (5),26,0% (0),53.85% (14),Not Available
641,zues,Rank 1,,"Nov 26, 2020",56,35,94.29% (33),0% (0),0,0% (0),0% (0),Not Available
